age,female,"bs(age, df=5, degree=2, include_intercept=False)[0]","bs(age, df=5, degree=2, include_intercept=False)[1]","bs(age, df=5, degree=2, include_intercept=False)[2]","bs(age, df=5, degree=2, include_intercept=False)[3]","bs(age, df=5, degree=2, include_intercept=False)[4]","bs(age, df=5, degree=2, include_intercept=False)[0]:female","bs(age, df=5, degree=2, include_intercept=False)[1]:female","bs(age, df=5, degree=2, include_intercept=False)[2]:female","bs(age, df=5, degree=2, include_intercept=False)[3]:female","bs(age, df=5, degree=2, include_intercept=False)[4]:female"
43.917,1,0.001534132171386758,0.5601608889743203,0.4383049788542929,0.0,0.0,0.001534132171386758,0.5601608889743203,0.4383049788542929,0.0,0.0
44.0,0,0.001307189542483363,0.5557862360630467,0.44290657439446995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,1,0.001307189542483363,0.5557862360630467,0.44290657439446995,0.0,0.0,0.001307189542483363,0.5557862360630467,0.44290657439446995,0.0,0.0
44.083,0,0.001098402323892242,0.5513693985219299,0.44753219915417797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.083,1,0.001098402323892242,0.5513693985219299,0.44753219915417797,0.0,0.0,0.001098402323892242,0.5513693985219299,0.44753219915417797,0.0,0.0
44.167,0,0.0009077705156133948,0.5469103763509697,0.45218185313341686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.167,1,0.0009077705156133948,0.5469103763509697,0.45218185313341686,0.0,0.0,0.0009077705156133948,0.5469103763509697,0.45218185313341686,0.0,0.0
44.25,0,0.000735294117646822,0.5424091695501665,0.45685553633218673,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.25,1,0.000735294117646822,0.5424091695501665,0.45685553633218673,0.0,0.0,0.000735294117646822,0.5424091695501665,0.45685553633218673,0.0,0.0
44.333,0,0.0005809731299925232,0.5378657781195199,0.46155324875048753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.333,1,0.0005809731299925232,0.5378657781195199,0.46155324875048753,0.0,0.0,0.0005809731299925232,0.5378657781195199,0.46155324875048753,0.0,0.0
44.417,0,0.0004448075526504984,0.5332802020590302,0.46627499038831927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.417,1,0.0004448075526504984,0.5332802020590302,0.46627499038831927,0.0,0.0,0.0004448075526504984,0.5332802020590302,0.46627499038831927,0.0,0.0
44.5,0,0.0003267973856207479,0.5286524413686973,0.47102076124568204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.5,1,0.0003267973856207479,0.5286524413686973,0.47102076124568204,0.0,0.0,0.0003267973856207479,0.5286524413686973,0.47102076124568204,0.0,0.0
44.583,0,0.0002269426289032713,0.523982496048521,0.47579056132257574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.583,1,0.0002269426289032713,0.523982496048521,0.47579056132257574,0.0,0.0,0.0002269426289032713,0.523982496048521,0.47579056132257574,0.0,0.0
44.667,0,0.00014524328249806886,0.5192703660985016,0.4805843906190003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.667,1,0.00014524328249806886,0.5192703660985016,0.4805843906190003,0.0,0.0,0.00014524328249806886,0.5192703660985016,0.4805843906190003,0.0,0.0
44.75,0,8.169934640514053e-05,0.5145160515186389,0.4854022491349559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.75,1,8.169934640514053e-05,0.5145160515186389,0.4854022491349559,0.0,0.0,8.169934640514053e-05,0.5145160515186389,0.4854022491349559,0.0,0.0
44.833,0,3.6310820624486254e-05,0.5097195523089331,0.49024413687044244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.833,1,3.6310820624486254e-05,0.5097195523089331,0.49024413687044244,0.0,0.0,3.6310820624486254e-05,0.5097195523089331,0.49024413687044244,0.0,0.0
44.917,0,9.077705156106085e-06,0.504880868469384,0.4951100538254599,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.917,1,9.077705156106085e-06,0.504880868469384,0.4951100538254599,0.0,0.0,9.077705156106085e-06,0.504880868469384,0.4951100538254599,0.0,0.0
45.0,0,0.0,0.4999999999999917,0.5000000000000083,1.9474290427828257e-29,0.0,0.0,0.0,0.0,0.0,0.0
