age,Normal,Elevated,Stage 1,Stage 2,Normal 2.5%,Normal 97.5%,Elevated 2.5%,Elevated 97.5%,Stage 1 2.5%,Stage 1 97.5%,Stage 2 2.5%,Stage 2 97.5%
79,0.2344849648112604,0.23064619321817018,0.2888675623800384,0.24600127959053103,0.223982941709452,0.24498698791306883,0.22020440680716868,0.24108797962917167,0.27763281687100244,0.3001023078890744,0.2353256721959068,0.2566768869851553
80,0.23641546410119366,0.22340994120791022,0.29948334224122575,0.2406912524496704,0.22530026945166998,0.24753065875071734,0.2125131725582594,0.23430670985756102,0.28750087807251434,0.31146580640993715,0.22950743872629892,0.2518750661730419
81,0.23921344024436808,0.2069492172584956,0.28465063001145474,0.26918671248568155,0.22766057924022937,0.2507663012485068,0.19597817880943907,0.21792025570755214,0.27243036798428516,0.2968708920386243,0.25717526433946736,0.28119816063189573
82,0.23141714045062117,0.2133080648557591,0.2851126552958518,0.27016213939776795,0.2194224204322948,0.24341186046894756,0.2016573387377433,0.22495879097377489,0.2722723881893834,0.2979529224023202,0.257533038178719,0.28279124061681693
83,0.245817843866171,0.21328996282527882,0.2757899628252788,0.26510223048327136,0.23295441383334847,0.25868127389899354,0.20105213004814473,0.2255277956024129,0.2624383583739203,0.28914156727663726,0.25191565226513496,0.27828880870140776
84,0.24542224651544137,0.21016671221645258,0.2905165345722875,0.25389450669581853,0.23147861656768762,0.25936587646319514,0.19696541624275837,0.2233680081901468,0.2758061694249283,0.30522689971964667,0.23979208628789425,0.26799692710374284
85,0.2540059347181009,0.20919881305637983,0.270919881305638,0.2658753709198813,0.23930913557882139,0.2687027338573804,0.19546641432944592,0.22293121178331374,0.25591470140260414,0.28592506120867184,0.25095920889471846,0.2807915329450441
86,0.27674258109040717,0.20910973084886128,0.26570048309178745,0.2484472049689441,0.26045399668626124,0.2930311654945531,0.19430351289655284,0.22391594880116972,0.24961879281157978,0.2817821733719951,0.2327147786938987,0.26417963124398947
87,0.25830533781261666,0.20679357969391565,0.269130272489735,0.26577081000373276,0.2417308162345181,0.27487985939071524,0.19145718170707252,0.2221299776807588,0.25233593034325513,0.2859246146362148,0.24904330388598575,0.28249831612147974
88,0.2563550193881947,0.2158552348125808,0.2727272727272727,0.25506247307195173,0.2385921035173618,0.2741179352590276,0.1991177599695269,0.23259270965563467,0.2546087219894561,0.2908458234650893,0.23732900283651592,0.27279594330738755
89,0.24780058651026393,0.22140762463343108,0.2751710654936461,0.25562072336265884,0.22909320786923226,0.2665079651512956,0.20341698369610114,0.23939826557076102,0.25581957504667896,0.2945225559406133,0.23671947699001603,0.27452196973530163
